name,latitude,longitude
Harvard University,42.36790855,-71.12678237
Massachusetts Institute of Technology,42.3583961,-71.09567788
Yale University,41.25713055,-72.9896696
University of Pennsylvania,39.9493382,-75.18964403
California Institute of Technology,34.13701375,-118.1252882
Princeton University,40.346995,-74.65763484
Brown University,41.82687235,-71.40122771
Stanford University,37.43131385,-122.1693654
Cornell University,42.4505507,-76.4783513
Duke University,36.0001557,-78.94422972
Northwestern University,42.0551164,-87.67581113
Dartmouth College,43.705244,-72.29052962
Johns Hopkins University,39.3299013,-76.62051769
The University of Chicago,41.785447,-87.59387932
Columbia University,40.8079488,-73.96179736
Rice University,29.71679145,-95.40478113
Vanderbilt University,36.14380105,-86.80281889
University of Southern California,34.0218833,-118.2858673
Washington University in St Louis,38.64724015,-90.30840173
Amherst College,42.37029465,-72.51605459
Williams College,42.7130236,-73.2030082
Emory University,33.7915703,-84.31837262
Pomona College,34.0974845,-117.7117267
Wellesley College,42.29177605,-71.30327516
"University of California, Los Angeles",34.0708781,-118.4468497
Carnegie Mellon University,40.4441619,-79.94272826
University of Michigan-Ann Arbor,42.2942142,-83.71003894
Swarthmore College,39.9035501,-75.35409206
Georgetown University,38.90893925,-77.07457962
Tufts University,42.40629165,-71.11819856
New York University,40.72925325,-73.99625394
University of Notre Dame,41.70456775,-86.23822026
University of North Carolina at Chapel Hill,35.90503535,-79.04775327
"University of California, Berkeley",37.87094645,-122.2663987
Middlebury College,44.00366955,-73.17295279
"University of California, Davis",38.55981475,-121.7742286
"University of California, San Diego",32.87935255,-117.2311005
Claremont McKenna College,34.0999577,-117.7039073
Haverford College,40.0071506,-75.30694233
Carleton College,44.47183535,-93.14145806
Smith College,42.31622385,-72.64039315
University of Washington-Seattle,47.6543238,-122.3080089
Wesleyan University,41.5559033,-72.65598838
Boston University,42.35031725,-71.10122725
Bowdoin College,43.90825,-69.96167458
Purdue University West Lafayette,40.43006705,-86.92470982
University of Illinois at Urbana-Champaign,40.101976,-88.2314378
Colgate University,42.8154037,-75.53958156
University of Miami,25.71727245,-80.27870737
University of Virginia (Main campus),37.96550575,-78.44844387
Barnard College,40.80951685,-73.96352578
Case Western Reserve University,41.50138695,-81.60070216
Bryn Mawr College,40.02813555,-75.31592059
Davidson College,35.5032193,-80.83393028
Lehigh University,40.6068028,-75.3782488
Vassar College,41.686786,-73.8956971
Grinnell College,41.75111985,-92.71984863
University of Rochester,43.1576969,-77.58829158
Boston College,42.3354481,-71.16813864
Hamilton College,43.0537974,-75.40689908
Mount Holyoke College,42.25532845,-72.56966884
University of Texas at Austin,30.284458,-97.7342106
Bates College,44.1060827,-70.20232209
University of Florida,29.6328784,-82.3490133
Scripps College,34.1039219,-117.7093518
University of Richmond,37.57586225,-77.54129937
University of Wisconsin-Madison,43.07982815,-89.43066425
Georgia Institute of Technology,33.776033,-84.39884086
Wake Forest University,36.134335,-80.2781152
Washington and Lee University,37.7929993,-79.4477349
"University of California, Santa Barbara",34.41460245,-119.84581
George Washington University,38.89949715,-77.04820783
"University of California, Irvine",33.6431901,-117.8401649
Bucknell University,30.3219804,-97.6733752
"University of Maryland, College Park",38.99203005,-76.9461029
Reed College,45.48149925,-122.6310136
Pitzer College,34.10471765,-117.7050428
Texas A&M University-College Station,30.6108365,-96.352128
William & Mary,37.27342952,-76.717057
United States Naval Academy,38.9815984,-76.4832158
University of Illinois at Chicago,41.86898915,-87.64856256
Michigan State University,42.7192043,-84.47791987
Macalester College,44.9376912,-93.16928542
Southern Methodist University,32.84180115,-96.7815281
Tulane University,29.94121955,-90.12010089
Ohio State University (Main campus),40.00570905,-83.0286626
Lafayette College,40.7356737,-75.23869545
Santa Clara University,37.3485345,-121.9364432
Trinity College,38.9275815,-77.0049153
Loyola Marymount University,33.9725576,-118.4181729
Franklin & Marshall College,40.0489875,-76.32009869
Kenyon College,40.37264735,-82.39428987
Northeastern University,42.3390301,-71.08791295
Skidmore College,43.098732,-73.783985
University of Minnesota Twin Cities,44.9863392,-93.1794558
Drexel University,39.9574,-75.19026706
Oberlin College,41.2959178,-82.22146701
University of Pittsburgh-Pittsburgh campus,40.44415295,-79.96243993
Occidental College,34.12719495,-118.2099203
Dickinson College,40.2028111,-77.19957448
Gettysburg College,39.8378577,-77.23958727
Whitman College,40.3439577,-74.6579438
Connecticut College,41.378826,-72.10513229
North Carolina State University,35.77184965,-78.67408695
University of Connecticut,41.81127235,-72.25414491
Penn State (Main campus),40.8034484,-77.85911884
Stony Brook University,40.9090809,-73.1205518
Virginia Polytechnic Institute and State University,37.21872455,-80.42542519
Brandeis University,42.36650945,-71.25801965
University at Buffalo,42.9551825,-78.81764795
Colorado College,38.8480439,-104.8239509
Trinity University,29.4616913,-98.48350835
University of the Pacific,37.98042375,-121.3128472
Seattle University,47.6093782,-122.3187984
Union College,42.81720665,-73.92870279
DePauw University,39.6397676,-86.861676
Denison University,40.07300505,-82.52248588
Howard University,38.921525,-77.01953566
Worcester Polytechnic Institute,42.27451265,-71.80905947
Babson College,42.29497225,-71.26484582
Saint Louis University,38.6352837,-90.23167733
Rensselaer Polytechnic Institute,42.72992195,-73.67953982
Indiana University Bloomington,39.1776209,-86.5160909
Syracuse University,43.03830645,-76.13330883
College of the Holy Cross,42.23677505,-71.80707989
University of Utah,40.7628137,-111.8368719
Creighton University,41.26585655,-95.94505554
Simmons University,42.33893545,-71.10043184
Villanova University,40.0367774,-75.34202332
Rutgers University-New Brunswick,40.50007595,-74.44579152
American University,38.93804505,-77.08939224
University of Denver,39.6852626,-104.9647861
Wheaton College (Massachusetts),41.9670817,-71.18309318
Bentley University,42.3858974,-71.22206806
Rhodes College,35.15564375,-89.98893549
University of Arizona,32.22877495,-110.9768841
Illinois Institute of Technology,41.8361963,-87.62655913
Pepperdine University,34.0414045,-118.7095814
Rhode Island School of Design,41.82697705,-71.40574511
Yeshiva University,34.0555657,-118.3878557
Sewanee-The University of the South,35.20344,-85.91967
Willamette University,44.9355889,-123.0308129
Brigham Young University-Provo,40.25501105,-111.6496566
Elon University,36.10652745,-79.50283881
Hobart and William Smith Colleges,42.8572633,-76.987228
The College of Wooster,40.81161765,-81.93385832
University of Georgia,33.9404278,-83.37304905
University of Delaware,39.6810328,-75.7540184
Furman University,34.92577435,-82.43852581
University of Iowa,41.6658499,-91.57310735
University of San Diego,32.77259675,-117.189163
Spelman College,33.74556485,-84.41110527
The Catholic University of America,38.9391024,-76.99996417
"Binghamton University, State University of New York",42.08925,-75.96989
Berea College,37.5717496,-84.2902111
Rochester Institute of Technology,40.3430942,-74.655074
Sarah Lawrence College,40.9344239,-73.84497733
Chapman University,33.79338165,-117.8516896
University of Colorado Boulder,40.00687815,-105.272776
Allegheny College,41.6492228,-80.1478379
University of Massachusetts Amherst,42.3869382,-72.52991477
Ohio Northern University,40.7660636,-83.83356383
Stevens Institute of Technology,40.7448096,-74.02524356
University of San Francisco,37.7793266,-122.4514401
Marquette University,43.03889625,-87.9315545
Texas Christian University,32.7080148,-97.36119385
Baylor University,31.55043405,-97.11029056
Muhlenberg College,40.59782395,-75.51061576
Colorado School of Mines,39.74906405,-105.2229822
California Institute of the Arts,34.39231695,-118.5666724
Samford University,33.46414845,-86.79395917
Butler University,39.8407191,-86.17374943
University of Detroit Mercy,42.414477,-83.13788292
Loyola University Chicago,41.9991492,-87.65737042
Ursinus College,40.1954088,-75.45531989
Fordham University,40.86173435,-73.88603169
Linfield College - McMinnville campus,45.1983055,-123.1981407
St Olaf College,44.46383005,-93.18722889
Virginia Military Institute,37.79133385,-79.4355152
Washington State University,46.73357155,-117.1452759
Kalamazoo College,42.2907304,-85.59937672
Wheaton College (Illinois),41.86963745,-88.09755525
University of Colorado Denver,39.7428324,-105.0059152
George Mason University,38.83133325,-77.30798839
Ohio Wesleyan University,40.292858,-83.06427625
Temple University,39.981188,-75.15628281
St Lawrence University,44.5875837,-75.14814464
Clemson University,34.66869155,-82.83743476
"University of California, Riverside",33.9814567,-117.374703
Lawrence University,44.26073645,-88.39891226
Westmont College,34.4496048,-119.6602744
Gustavus Adolphus College,44.3217827,-93.97404805
"California Polytechnic State University, San Luis Obispo",35.3074623,-120.6646483
Saint Mary's College of California,37.84110195,-122.1097645
The University of Tulsa,36.1523237,-95.94596153
State University of New York Albany,42.68435875,-73.82583423
Bradley University,40.6981131,-89.61552823
University of the Sciences,39.9468678,-75.2071035
Fairfield University,41.15967565,-73.2574031
Michigan Technological University,47.1099114,-88.55115133
Missouri University of Science and Technology,37.95289395,-91.77385801
Wofford College,34.96104065,-81.93527627
Clark University,42.25145405,-71.82261469
Lake Forest College,42.2488266,-87.8291111
CUNY City College of New York,40.8200471,-73.9492724
Clarkson University,44.65958875,-75.00623975
University of Oklahoma,35.1959878,-97.44570828
Adelphi University,40.71960525,-73.65201234
Bryant University,41.92209145,-71.53715174
CUNY Hunter College,40.7678398,-73.9645291
Drake University,41.60307425,-93.6552742
Florida State University,30.44235995,-84.29747867
Loyola University Maryland,39.34835595,-76.61592931
University of Portland,45.57340675,-122.7263529
Susquehanna University,40.79688725,-76.87503743
Washington & Jefferson College,40.1719209,-80.24134964
Drew University,40.76066025,-74.4280349
Southwestern University,30.6367076,-97.6625885
Miami University,39.509414,-84.73109983
Knox College,40.86553690566344,-90.26520034245229
DePaul University,41.92401995,-87.65472634
Stonehill College,42.05931925,-71.0792207
Washington College,39.218376,-76.0692567
Arizona State University (Tempe),33.42152185,-111.9331616
Beloit College,42.5009819,-89.01577774
Centre College,37.64504455,-84.78112961
Dominican University of California,37.98008565,-122.5143069
Hofstra University,40.71703345,-73.59983501
"Embry-Riddle Aeronautical University, Daytona Beach",29.19175315,-81.04958387
Gonzaga University,47.6667117,-117.4030457
Providence College,41.84366,-71.43477653
CUNY Bernard M. Baruch College,40.7403892,-73.9832286
University of Scranton,41.40644645,-75.65774968
Ithaca College,42.4195902,-76.49849198
Lewis & Clark College,45.448433,-122.6698744
Mercer University,32.831806,-83.6499029
Pratt Institute,40.69133825,-73.96301633
University of Kansas,38.958058,-95.2477503
University of Oregon,44.04455155,-123.071736
Southern Illinois University Carbondale,37.7079717,-89.2229983
Westminster College (Utah),40.7312521,-111.8555636
Cornell College,41.9253978,-91.42398553
University of Dayton,39.73845985,-84.17919478
College of Saint Benedict,45.5619144,-94.3198793
Florida Institute of Technology,28.0642296,-80.62300972
New Jersey Institute of Technology,40.7423025,-74.17928172
Saint Joseph's University,39.99652965,-75.24151167
University of Wyoming,41.3144774,-105.5643229
Auburn University,32.591963,-85.49598607
Oklahoma City University,35.49631525,-97.54122412
University of California,38.5382322,-121.7617125
Rutgers University-Newark,40.74296,-74.17219258
Albion College,42.2437255,-84.74290095
Thomas Jefferson University,39.9489114,-75.15805656
Saint John's University,45.5807337,-94.3922495
University of Alabama at Birmingham,33.5016153,-86.80604756
Luther College,43.31106299999999,-91.8062533
Molloy College,40.6862712,-73.62711908
Saint Anselm College,42.98355765,-71.50775002
University of Hawai’i at Mānoa,21.2982795,-157.8186923
Hope College,42.7867245,-86.09964267
Quinnipiac University,41.41860555,-72.89372645
Valparaiso University,41.4629448,-87.0446489
Bard College,42.0225482,-73.91072422
